Voucher Type,ID,state_name,Zone,Branch_name,Route,PartyName,CategoryName,PaymentType,CreatedDate,VoucherDate,VoucherNo,Bill Type,Salesman,Taxable,CGST,SGST,IGST,VoucherAMT,Discount,Realisable amount,RecieveAMT,Differance,RMODE,GroupName,ItemCOde,TaxPerc,qty,Freeqty ,TotalAmt,FreeAmount,Rate,DiscAmount,Helper 1,KL MT OUTLETS,TN MT OUTLETS,Category,NEW SKU,Division,Customer name,District for milk,District for Dashboard,ZONE FOR MT ,GROUPING FOR ITEM,Column1
Sales,7421264,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101MADEENA POOVAR,MILK KL,CASH PAYMENT,30-08-2024,01-08-2025,NSKV5705/25,B2C,AMALDASJ,84.3,2.11,2.11,0,89,0,89,89,0,,001 FG CURD,PC475,5,3,0,84.3,0,28.1,0,101MADEENA POOVAR001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7421204,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101MANIYAN,MILK KL,CASH PAYMENT,22-01-2024,01-08-2025,NSKV5680/25,B2C,AMALDASJ,129,0,0,0,129,0,129,129,0,,000FG MILK,CM 475,0,5,0,129,0,25.8,0,101MANIYAN000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7421270,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101MANIYAN,MILK KL,CASH PAYMENT,22-01-2024,01-08-2025,NSKV5709/25,B2C,AMALDASJ,84.3,2.11,2.11,0,89,0,89,89,0,Cash,001 FG CURD,PC475,5,3,0,84.3,0,28.1,0,101MANIYAN001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7422322,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101MATHA STORE,MILK KL,CASH PAYMENT,21-06-2024,01-08-2025,NSPD9211/25,B2C,SATHEESH R,129,0,0,0,129,0,129,129,0,Cash,000FG MILK,CM 475,0,5,0,129,0,25.8,0,101MATHA STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422320,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101MEENAKSHI STORE,MILK KL,CASH PAYMENT,06-10-2024,01-08-2025,NSPD9209/25,B2C,SATHEESH R,152.4,3.81,3.81,0,160,0,160,160,0,Cash,001 FG CURD,PC140,5,20,0,152.4,0,7.62,0,101MEENAKSHI STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7429515,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,101MORGAN CAFE,MILK KL,CASH PAYMENT,28-06-2023,01-08-2025,NSBM32972/25,B2C,MANU  M,281,7.03,7.03,0,295,0,295,295,0,Cash,001 FG CURD,PC475,5,10,0,281,0,28.1,0,101MORGAN CAFE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7421265,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101PM STORE,MILK KL,CASH PAYMENT,06-10-2024,01-08-2025,NSKV5706/25,B2C,AMALDASJ,84.3,2.11,2.11,0,89,0,89,89,0,Cash,001 FG CURD,PC475,5,3,0,84.3,0,28.1,0,101PM STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7421218,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101Ravi store,MILK KL,CASH PAYMENT,22-02-2024,01-08-2025,NSKV5686/25,B2C,AMALDASJ,103.2,0,0,0,103,0,103,103,0,,000FG MILK,CM 475,0,4,0,103.2,0,25.8,0,101Ravi store000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422849,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101Ravi store,MILK KL,CASH PAYMENT,22-02-2024,01-08-2025,NSKV5717/25,B2C,AMALDASJ,76.2,1.91,1.91,0,80,0,80,80,0,Cash,001 FG CURD,PC140,5,10,0,76.2,0,7.62,0,101Ravi store001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7428331,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101REVATHY STORE,MILK KL,CASH PAYMENT,14-11-2023,01-08-2025,NSKD19518/25,B2C,BINEESH,188.6,4.72,4.72,0,198,0,198,198,0,Cash,001 FG CURD,PC140,5,10,0,76.2,0,7.62,0,101REVATHY STORE001 FG CURD,,,,YES,Not in Master,,,,,,
